Segment No	Inlet node	Outlet node	Length [m]	Length Source	Length Segment	Inlet Radius [m]	Inlet Radius Source	Inlet Radius Segment	Outlet Radius [m]	Outlet Radius Source	Outlet Radius Segment	Name
1	1	2	0.060	combined from Mynard2015	"1,2,3"	0.018206	Mynard2015 * sqrt(1.5)	1	0.018004	Mynard2015 * sqrt(1.5)	3	Ascending Aorta
2	2	3	0.020	Mynard2015	4	0.015799	Mynard2015 * sqrt(1.5)	4	0.015799	Mynard2015 * sqrt(1.5)	4	Aortic Arch I
3	2	4	0.034	Mynard2015	5	0.008561	Mynard2015 * sqrt(1.5)	5	0.008561	Mynard2015 * sqrt(1.5)	5	Brachiocephalic Artery
4	4	5	0.034	Mynard2015	6	0.007348	Mynard2015 * sqrt(1.5)	6	0.006736	Mynard2015 * sqrt(1.5)	6	Right Subclavian Artery I
5	4	6	0.094	Mynard2015	7	0.004899	Mynard2015 * sqrt(1.5)	7	0.004225	Mynard2015 * sqrt(1.5)	7	Right Common Carotid Artery
6	5	7	0.149	Mynard2015	8	0.002266	Mynard2015 * sqrt(1.5)	8	0.001715	Mynard2015 * sqrt(1.5)	8	Right Vertebral Artery
7	5	8	0.422	combined from Mynard2015	"10,12,14"	0.006736	Mynard2015 * sqrt(1.5)	10	0.002890	Mynard2015 * sqrt(1.5)	14	Right Brachial Artery
8	8	9	0.235	Mynard2015	15	0.001592	Mynard2015 * sqrt(1.5)	15	0.001310	Mynard2015 * sqrt(1.5)	15	Right Radial Artery
9	8	10	0.067	Mynard2015	16	0.002633	Mynard2015 * sqrt(1.5)	16	0.002633	Mynard2015 * sqrt(1.5)	16	Right Ulnar Artery I
10	10	11	0.079	Mynard2015	17	0.001115	Mynard2015 * sqrt(1.5)	17	0.001115	Mynard2015 * sqrt(1.5)	17	Right Interosseous Artery
11	10	12	0.171	Mynard2015	18	0.002449	Mynard2015 * sqrt(1.5)	18	0.002241	Mynard2015 * sqrt(1.5)	18	Right Ulnar Artery II
12	6	13	0.178	Mynard2015	19	0.003491	Mynard2015 * sqrt(1.5)	19	0.002633	Mynard2015 * sqrt(1.5)	19	Right Internal Carotid Artery
13	6	14	0.041	Mynard2015	20	0.003062	Mynard2015 * sqrt(1.5)	20	0.002756	Mynard2015 * sqrt(1.5)	20	Right External Carotid Artery I
